602308643	忍伝-2	忍伝-207[ノーマル]：忍伝-207/奈良ヨシノ
GL124590	術伝-142	術伝-142[ノーマル]：脱皮
GL124591	術伝-144	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　術伝-144[ノーマル]：掌仙術
GL124592	術伝-145	術伝-145[ノーマル]：砂の腕
GL124593	術伝-146	術伝-146[ノーマル]：砂の大盾
GL124594	術伝-147	術伝-147[ノーマル]：痛天脚
GL124595	術伝-148	術伝-148[ノーマル]：火影の首飾り
GL124596	術伝-149	アニメ系トレカ/ノーマル/NARUTO　疾風伝　CARDGAME　術伝-149[ノーマル]：チャクラ糸
GL124597	術伝-150	術伝-150[ノーマル]：発信機
GL124598	術伝-151	術伝-151[ノーマル]：木分身の術
GL124599	術伝-152	術伝-152[ノーマル]：木遁・四柱牢
GN663724	忍伝-16	忍伝-165[レア]：デイダラ（Bランク）
GU362430	忍伝-107	忍伝-107
GU362431	忍伝-108	忍伝-108
GU362432	忍伝-115	NARUTO 疾風伝 CARDGAME 忍伝-115[レア]：我愛羅
GU362433	忍伝-学002	忍伝-学002[ノーマル]：ガマ吉
GU362434	忍伝-学005	忍伝-学005[ノーマル]：卯月夕顔
GU362435	忍伝-学006	忍伝-学006[ノーマル]：四代目火影
GU362436	忍伝-学007	忍伝-学007[ノーマル]：ガマブン太
GU362437	忍伝-学014	忍伝-学014[ノーマル]：三代目火影
GU362438	忍伝-学025	忍伝-学025[ノーマル]：カンクロウ
GU362439	忍伝-学026	忍伝-学026[ノーマル]：テマリ
GU362440	忍伝-学028	忍伝-学028[ノーマル]：夕日紅
GU362441	忍伝-学030	忍伝-学030[ノーマル]：奈良シカマル
GU362442	忍伝-学033	忍伝-学033[ノーマル]：奈良シカク
GU362443	忍伝-学038	忍伝-学038[ノーマル]：油女シノ
GU362444	忍伝-学040	忍伝-学040[ノーマル]：木ノ葉丸
GL124614	PR作伝-5	PR作伝-5[プロモーショカード]：究極連係
GL124615	PR忍伝-6	PR忍伝-6[プロモーショカード]：うちはサスケ
